State,Registration Count,Population (millions),"EVs per 1,000 people"
California,1256646,39.43,31.870301800659398
Washington,152101,7.96,19.108165829145726
Hawaii,25565,1.41,18.131205673758867
Colorado,90083,5.96,15.114597315436242
Oregon,64361,4.27,15.072833723653396
Nevada,47361,3.27,14.483486238532109
New Jersey,134753,9.5,14.184526315789475
Vermont,7816,0.59,13.247457627118644
District of Columbia,8066,0.65,12.409230769230769
Arizona,89798,7.58,11.846701846965699
Maryland,72139,6.26,11.523801916932907
Utah,39998,3.5,11.428
Florida,254878,23.37,10.906204535729568
Massachusetts,73768,7.14,10.331652661064426
Virginia,84936,8.81,9.640862656072644
Delaware,8435,0.92,9.168478260869565
New Hampshire,9861,1.14,8.65
Connecticut,31557,3.68,8.575271739130434
Georgia,92368,11.18,8.261896243291593
Illinois,99573,12.71,7.834225019669551
Texas,230125,31.29,7.354586129753915
New York,131250,19.87,6.6054353296426775
Minnesota,37050,5.79,6.398963730569948
North Carolina,70164,11.05,6.349683257918552
Rhode Island,6396,1.05,6.091428571428572
Oklahoma,22843,4.1,5.571463414634147
Pennsylvania,70154,13.08,5.363455657492355
Maine,7377,1.41,5.231914893617021
Michigan,50284,10.14,4.958974358974358
New Mexico,10276,2.13,4.824413145539906
Idaho,8501,1.77,4.802824858757062
Tennessee,33221,7.23,4.594882434301522
Missouri,26861,6.25,4.29776
Ohio,50393,11.88,4.241835016835017
Wisconsin,24943,5.96,4.18506711409396
Montana,4608,1.11,4.151351351351351
Alaska,2697,0.7,3.8528571428571428
South Carolina,20873,5.48,3.8089416058394163
Kansas,11271,2.97,3.7949494949494946
Indiana,26101,6.92,3.771820809248555
Nebraska,6920,2.01,3.4427860696517416
Iowa,9031,3.24,2.7873456790123456
Kentucky,11617,4.59,2.530936819172113
Alabama,13047,5.16,2.5284883720930234
Arkansas,7108,3.09,2.3003236245954692
South Dakota,1675,0.8,2.09375
West Virginia,2758,1.45,1.9020689655172414
Louisiana,8150,4.6,1.7717391304347825
North Dakota,959,0.74,1.295945945945946
Mississippi,3590,2.94,1.2210884353741496
